(KEYWORD_PROGRAM, "program", 1, 2)
(ID, "GCD", 1, 10)
(SEMICOLON, ";", 1, 13)
(KEYWORD_VAR, "var", 2, 2)
(ID, "x", 3, 6)
(COMMA, ",", 3, 7)
(ID, "y", 3, 9)
(COLON, ":", 3, 10)
(KEYWORD_INTEGER, "integer", 3, 12)
(SEMICOLON, ";", 3, 19)
(ID, "result", 4, 6)
(COLON, ":", 4, 12)
(KEYWORD_INTEGER, "integer", 4, 14)
(SEMICOLON, ";", 4, 21)
(KEYWORD_FUNCTION, "function", 6, 2)
(ID, "gcd", 6, 11)
(LPAREN, "(", 6, 14)
(ID, "a", 6, 15)
(COMMA, ",", 6, 16)
(ID, "b", 6, 18)
(COLON, ":", 6, 19)
(KEYWORD_INTEGER, "integer", 6, 21)
(RPAREN, ")", 6, 28)
(COLON, ":", 6, 29)
(KEYWORD_INTEGER, "integer", 6, 31)
(SEMICOLON, ";", 6, 38)
(KEYWORD_BEGIN, "begin", 7, 2)
(KEYWORD_IF, "if", 8, 6)
(ID, "b", 8, 9)
(EQ, "=", 8, 11)
(NUMBER, "0", 8, 13)
(KEYWORD_THEN, "then", 8, 15)
(ID, "gcd", 9, 10)
(ASSIGN, ":=", 9, 14)
(ID, "a", 9, 17)
(KEYWORD_ELSE, "else", 10, 6)
(ID, "gcd", 11, 10)
(ASSIGN, ":=", 11, 14)
(ID, "gcd", 11, 17)
(LPAREN, "(", 11, 20)
(ID, "b", 11, 21)
(COMMA, ",", 11, 22)
(ID, "a", 11, 24)
(KEYWORD_MOD, "mod", 11, 26)
(ID, "b", 11, 30)
(RPAREN, ")", 11, 31)
(KEYWORD_END, "end", 12, 2)
(SEMICOLON, ";", 12, 5)
(KEYWORD_BEGIN, "begin", 14, 2)
(ID, "read", 15, 6)
(LPAREN, "(", 15, 10)
(ID, "x", 15, 11)
(COMMA, ",", 15, 12)
(ID, "y", 15, 14)
(RPAREN, ")", 15, 15)
(SEMICOLON, ";", 15, 16)
(ID, "result", 16, 6)
(ASSIGN, ":=", 16, 13)
(ID, "gcd", 16, 16)
(LPAREN, "(", 16, 19)
(ID, "x", 16, 20)
(COMMA, ",", 16, 21)
(ID, "y", 16, 23)
(RPAREN, ")", 16, 24)
(SEMICOLON, ";", 16, 25)
(ID, "write", 17, 6)
(LPAREN, "(", 17, 11)
(ID, "result", 17, 12)
(RPAREN, ")", 17, 18)
(KEYWORD_END, "end", 18, 2)
(DOT, ".", 18, 5)
