LL(1) Parsing Table (Detailed)
====================================================================================================

M[addop          , MINUS     ] -> MINUS
M[addop          , PLUS      ] -> PLUS
M[arguments      , COLON     ] -> EPSILON
M[arguments      , LPAREN    ] -> LPAREN param_list RPAREN
M[arguments      , SEMICOLON ] -> EPSILON
M[else_part      , SEMICOLON ] -> EPSILON
M[expr_list      , ID        ] -> expression expr_list_prime
M[expr_list      , LPAREN    ] -> expression expr_list_prime
M[expr_list      , NUMBER    ] -> expression expr_list_prime
M[expr_list      , RPAREN    ] -> EPSILON
M[expr_list      , sign      ] -> expression expr_list_prime
M[expr_list_prime, COMMA     ] -> COMMA expression expr_list_prime
M[expr_list_prime, RPAREN    ] -> EPSILON
M[expr_prime     , COMMA     ] -> EPSILON
M[expr_prime     , RBRACKET  ] -> EPSILON
M[expr_prime     , RPAREN    ] -> EPSILON
M[expr_prime     , relop     ] -> relop simple_expr
M[expression     , ID        ] -> simple_expr expr_prime
M[expression     , LPAREN    ] -> simple_expr expr_prime
M[expression     , NUMBER    ] -> simple_expr expr_prime
M[expression     , sign      ] -> simple_expr expr_prime
M[factor         , ID        ] -> ID factor_tail
M[factor         , LPAREN    ] -> LPAREN expression RPAREN
M[factor         , NUMBER    ] -> NUMBER
M[factor         , sign      ] -> sign factor
M[factor_tail    , COMMA     ] -> EPSILON
M[factor_tail    , LPAREN    ] -> LPAREN expr_list RPAREN
M[factor_tail    , RBRACKET  ] -> EPSILON
M[factor_tail    , RPAREN    ] -> EPSILON
M[factor_tail    , addop     ] -> EPSILON
M[factor_tail    , mulop     ] -> EPSILON
M[factor_tail    , relop     ] -> EPSILON
M[id_list        , ID        ] -> ID id_list_prime
M[id_list_prime  , COLON     ] -> EPSILON
M[id_list_prime  , COMMA     ] -> COMMA ID id_list_prime
M[id_list_prime  , RPAREN    ] -> EPSILON
M[mulop          , DIVIDE    ] -> DIVIDE
M[mulop          , MULTIPLY  ] -> MULTIPLY
M[optional_stmts , ID        ] -> stmt_list
M[param_list     , ID        ] -> id_list COLON type_spec param_list_prime
M[param_list_prime, RPAREN    ] -> EPSILON
M[param_list_prime, SEMICOLON ] -> SEMICOLON id_list COLON type_spec param_list_prime
M[relop          , EQ        ] -> EQ
M[relop          , GE        ] -> GE
M[relop          , GT        ] -> GT
M[relop          , LE        ] -> LE
M[relop          , LT        ] -> LT
M[relop          , NEQ       ] -> NEQ
M[sign           , MINUS     ] -> MINUS
M[sign           , PLUS      ] -> PLUS
M[simple_expr    , ID        ] -> term simple_expr_prime
M[simple_expr    , LPAREN    ] -> term simple_expr_prime
M[simple_expr    , NUMBER    ] -> term simple_expr_prime
M[simple_expr    , sign      ] -> term simple_expr_prime
M[simple_expr_prime, COMMA     ] -> EPSILON
M[simple_expr_prime, RBRACKET  ] -> EPSILON
M[simple_expr_prime, RPAREN    ] -> EPSILON
M[simple_expr_prime, addop     ] -> addop term simple_expr_prime
M[simple_expr_prime, relop     ] -> EPSILON
M[statement      , ID        ] -> var_or_proc_call stmt_tail
M[stmt_list      , ID        ] -> statement stmt_list_prime
M[stmt_list_prime, SEMICOLON ] -> SEMICOLON statement stmt_list_prime
M[term           , ID        ] -> factor term_prime
M[term           , LPAREN    ] -> factor term_prime
M[term           , NUMBER    ] -> factor term_prime
M[term           , sign      ] -> factor term_prime
M[term_prime     , COMMA     ] -> EPSILON
M[term_prime     , RBRACKET  ] -> EPSILON
M[term_prime     , RPAREN    ] -> EPSILON
M[term_prime     , addop     ] -> EPSILON
M[term_prime     , mulop     ] -> mulop factor term_prime
M[term_prime     , relop     ] -> EPSILON
M[var_or_proc_call, ID        ] -> ID var_or_proc_tail
M[var_or_proc_tail, ASSIGN    ] -> ASSIGN expression
M[var_or_proc_tail, LBRACKET  ] -> LBRACKET expression RBRACKET ASSIGN expression
M[var_or_proc_tail, LPAREN    ] -> LPAREN expr_list RPAREN
