SLR(1) Parser Trace
================================================================================

File: simple_valid.pas
--------------------------------------------------------------------------------

Result: ACCEPT

Shift-Reduce Trace:
SLR(1) Parser Trace
========================================================================================================================
Step  State Stack          Symbol Stack                             Input                          Action              
------------------------------------------------------------------------------------------------------------------------
Step 1     0                    $                                        program simple (               SHIFT → state 1
Step 2     0 1                  $ KEYWORD_program                        simple ( input                 SHIFT → state 3
Step 3     0 1 3                $ KEYWORD_program ID                     ( input ,                      SHIFT → state 4
Step 4     1 3 4                KEYWORD_program ID LPAREN                input , output                 SHIFT → state 5
Step 5     3 4 5                ID LPAREN ID                             , output )                     SHIFT → state 7
Step 6     4 5 7                LPAREN ID COMMA                          output ) ;                     SHIFT → state 10
Step 7     5 7 10               ID COMMA ID                              ) ; var                        REDUCE id_list_prime -> ...
Step 8     7 10 12              COMMA ID id_list_prime                   ) ; var                        REDUCE id_list_prime -> ...
Step 9     4 5 8                LPAREN ID id_list_prime                  ) ; var                        REDUCE id_list -> ...
Step 10    3 4 6                ID LPAREN id_list                        ) ; var                        SHIFT → state 9
Step 11    4 6 9                LPAREN id_list RPAREN                    ; var x                        SHIFT → state 11
Step 12    6 9 11               id_list RPAREN SEMICOLON                 var x :                        SHIFT → state 13
Step 13    9 11 13              RPAREN SEMICOLON KEYWORD_var             x : integer                    SHIFT → state 5
Step 14    11 13 5              SEMICOLON KEYWORD_var ID                 : integer ;                    REDUCE id_list_prime -> ...
Step 15    13 5 8               KEYWORD_var ID id_list_prime             : integer ;                    REDUCE id_list -> ...
Step 16    11 13 15             SEMICOLON KEYWORD_var id_list            : integer ;                    SHIFT → state 21
Step 17    13 15 21             KEYWORD_var id_list COLON                integer ; begin                SHIFT → state 29
Step 18    15 21 29             id_list COLON KEYWORD_integer            ; begin read                   REDUCE type_spec -> ...
Step 19    15 21 31             id_list COLON type_spec                  ; begin read                   SHIFT → state 47
Step 20    21 31 47             COLON type_spec SEMICOLON                begin read (                   REDUCE declarations -> ...
Step 21    31 47 73             type_spec SEMICOLON declarations         begin read (                   REDUCE declarations -> ...
Step 22    9 11 14              RPAREN SEMICOLON declarations            begin read (                   REDUCE subprogram_decls -> ...
Step 23    11 14 19             SEMICOLON declarations subprogram_decls  begin read (                   SHIFT → state 25
Step 24    14 19 25             declarations subprogram_decls KEYWORD_begin read ( x                       SHIFT → state 36
Step 25    19 25 36             subprogram_decls KEYWORD_begin ID        ( x )                          SHIFT → state 54
Step 26    25 36 54             KEYWORD_begin ID LPAREN                  x ) ;                          SHIFT → state 56
Step 27    36 54 56             ID LPAREN ID                             ) ; write                      REDUCE factor_tail -> ...
Step 28    54 56 82             LPAREN ID factor_tail                    ) ; write                      REDUCE factor -> ...
Step 29    36 54 63             ID LPAREN factor                         ) ; write                      REDUCE term_prime -> ...
Step 30    54 63 92             LPAREN factor term_prime                 ) ; write                      REDUCE term -> ...
Step 31    36 54 66             ID LPAREN term                           ) ; write                      REDUCE simple_expr_prime -> ...
Step 32    54 66 106            LPAREN term simple_expr_prime            ) ; write                      REDUCE simple_expr -> ...
Step 33    36 54 65             ID LPAREN simple_expr                    ) ; write                      REDUCE expr_prime -> ...
Step 34    54 65 100            LPAREN simple_expr expr_prime            ) ; write                      REDUCE expression -> ...
Step 35    36 54 80             ID LPAREN expression                     ) ; write                      REDUCE expr_list_prime -> ...
Step 36    54 80 115            LPAREN expression expr_list_prime        ) ; write                      REDUCE expr_list -> ...
Step 37    36 54 79             ID LPAREN expr_list                      ) ; write                      SHIFT → state 113
Step 38    54 79 113            LPAREN expr_list RPAREN                  ; write (                      REDUCE var_or_proc_tail -> ...
Step 39    25 36 55             KEYWORD_begin ID var_or_proc_tail        ; write (                      REDUCE var_or_proc_call -> ...
Step 40    19 25 43             subprogram_decls KEYWORD_begin var_or_proc_call ; write (                      REDUCE stmt_tail -> ...
Step 41    25 43 71             KEYWORD_begin var_or_proc_call stmt_tail ; write (                      REDUCE statement -> ...
Step 42    19 25 41             subprogram_decls KEYWORD_begin statement ; write (                      SHIFT → state 69
Step 43    25 41 69             KEYWORD_begin statement SEMICOLON        write ( x                      SHIFT → state 36
Step 44    41 69 36             statement SEMICOLON ID                   ( x )                          SHIFT → state 54
Step 45    69 36 54             SEMICOLON ID LPAREN                      x ) end                        SHIFT → state 56
Step 46    36 54 56             ID LPAREN ID                             ) end .                        REDUCE factor_tail -> ...
Step 47    54 56 82             LPAREN ID factor_tail                    ) end .                        REDUCE factor -> ...
Step 48    36 54 63             ID LPAREN factor                         ) end .                        REDUCE term_prime -> ...
Step 49    54 63 92             LPAREN factor term_prime                 ) end .                        REDUCE term -> ...
Step 50    36 54 66             ID LPAREN term                           ) end .                        REDUCE simple_expr_prime -> ...
Step 51    54 66 106            LPAREN term simple_expr_prime            ) end .                        REDUCE simple_expr -> ...
Step 52    36 54 65             ID LPAREN simple_expr                    ) end .                        REDUCE expr_prime -> ...
Step 53    54 65 100            LPAREN simple_expr expr_prime            ) end .                        REDUCE expression -> ...
Step 54    36 54 80             ID LPAREN expression                     ) end .                        REDUCE expr_list_prime -> ...
Step 55    54 80 115            LPAREN expression expr_list_prime        ) end .                        REDUCE expr_list -> ...
Step 56    36 54 79             ID LPAREN expr_list                      ) end .                        SHIFT → state 113
Step 57    54 79 113            LPAREN expr_list RPAREN                  end . EOF                      REDUCE var_or_proc_tail -> ...
Step 58    69 36 55             SEMICOLON ID var_or_proc_tail            end . EOF                      REDUCE var_or_proc_call -> ...
Step 59    41 69 43             statement SEMICOLON var_or_proc_call     end . EOF                      REDUCE stmt_tail -> ...
Step 60    69 43 71             SEMICOLON var_or_proc_call stmt_tail     end . EOF                      REDUCE statement -> ...
Step 61    41 69 108            statement SEMICOLON statement            end . EOF                      REDUCE stmt_list_prime -> ...
Step 62    69 108 123           SEMICOLON statement stmt_list_prime      end . EOF                      REDUCE stmt_list_prime -> ...
Step 63    25 41 70             KEYWORD_begin statement stmt_list_prime  end . EOF                      REDUCE stmt_list -> ...
Step 64    19 25 42             subprogram_decls KEYWORD_begin stmt_list end . EOF                      REDUCE optional_stmts -> ...
Step 65    19 25 40             subprogram_decls KEYWORD_begin optional_stmts end . EOF                      SHIFT → state 68
Step 66    25 40 68             KEYWORD_begin optional_stmts KEYWORD_end . EOF                          REDUCE compound_stmt -> ...
Step 67    14 19 26             declarations subprogram_decls compound_stmt . EOF                          SHIFT → state 44
Step 68    19 26 44             subprogram_decls compound_stmt DOT       EOF                            REDUCE program -> ...
Step 69    0 2                  $ program                                EOF                            ACCEPT
