(KEYWORD_PROGRAM, "program", 1, 2)
(ID, "GCD", 1, 10)
(SEMICOLON, ";", 1, 13)
(KEYWORD_VAR, "var", 2, 2)
(ID, "x", 3, 6)
(COMMA, ",", 3, 7)
(ID, "y", 3, 9)
(COLON, ":", 3, 10)
(KEYWORD_INTEGER, "integer", 3, 12)
(SEMICOLON, ";", 3, 19)
(ID, "result", 4, 6)
(COLON, ":", 4, 12)
(KEYWORD_INTEGER, "integer", 4, 14)
(SEMICOLON, ";", 4, 21)
(ID, "arr", 5, 6)
(COLON, ":", 5, 9)
(KEYWORD_ARRAY, "array", 5, 11)
(LBRACKET, "[", 5, 17)
(NUMBER, "1", 5, 18)
(DOUBLE_DOT, "..", 5, 19)
(NUMBER, "10", 5, 21)
(RBRACKET, "]", 5, 23)
(KEYWORD_OF, "of", 5, 25)
(KEYWORD_INTEGER, "integer", 5, 28)
(SEMICOLON, ";", 5, 35)
(KEYWORD_FUNCTION, "function", 7, 2)
(ID, "gcd", 7, 11)
(LPAREN, "(", 7, 14)
(ID, "a", 7, 15)
(COMMA, ",", 7, 16)
(ID, "b", 7, 18)
(COLON, ":", 7, 19)
(KEYWORD_INTEGER, "integer", 7, 21)
(RPAREN, ")", 7, 28)
(COLON, ":", 7, 29)
(KEYWORD_INTEGER, "integer", 7, 31)
(SEMICOLON, ";", 7, 38)
(KEYWORD_BEGIN, "begin", 8, 2)
(KEYWORD_IF, "if", 9, 6)
(ID, "b", 9, 9)
(EQ, "=", 9, 11)
(NUMBER, "0", 9, 13)
(KEYWORD_THEN, "then", 9, 15)
(ID, "gcd", 10, 10)
(ASSIGN, ":=", 10, 14)
(ID, "a", 10, 17)
(KEYWORD_ELSE, "else", 11, 6)
(ID, "gcd", 12, 10)
(ASSIGN, ":=", 12, 14)
(ID, "gcd", 12, 17)
(LPAREN, "(", 12, 20)
(ID, "b", 12, 21)
(COMMA, ",", 12, 22)
(ID, "a", 12, 24)
(KEYWORD_MOD, "mod", 12, 26)
(ID, "b", 12, 30)
(RPAREN, ")", 12, 31)
(KEYWORD_END, "end", 13, 2)
(SEMICOLON, ";", 13, 5)
(KEYWORD_BEGIN, "begin", 15, 2)
(ID, "read", 17, 6)
(LPAREN, "(", 17, 10)
(ID, "x", 17, 11)
(COMMA, ",", 17, 12)
(ID, "y", 17, 14)
(RPAREN, ")", 17, 15)
(SEMICOLON, ";", 17, 16)
(ID, "result", 20, 6)
(ASSIGN, ":=", 20, 13)
(ID, "gcd", 20, 16)
(LPAREN, "(", 20, 19)
(ID, "x", 20, 20)
(COMMA, ",", 20, 21)
(ID, "y", 20, 23)
(RPAREN, ")", 20, 24)
(SEMICOLON, ";", 20, 25)
(ID, "write", 21, 6)
(LPAREN, "(", 21, 11)
(ID, "result", 21, 12)
(RPAREN, ")", 21, 18)
(SEMICOLON, ";", 21, 19)
(KEYWORD_WHILE, "while", 24, 6)
(ID, "x", 24, 12)
(GT, ">", 24, 14)
(NUMBER, "0", 24, 16)
(KEYWORD_DO, "do", 24, 18)
(KEYWORD_BEGIN, "begin", 25, 6)
(ID, "x", 26, 10)
(ASSIGN, ":=", 26, 12)
(ID, "x", 26, 15)
(MINUS, "-", 26, 17)
(NUMBER, "1", 26, 19)
(SEMICOLON, ";", 26, 20)
(ID, "y", 27, 10)
(ASSIGN, ":=", 27, 12)
(ID, "y", 27, 15)
(PLUS, "+", 27, 17)
(NUMBER, "1", 27, 19)
(KEYWORD_END, "end", 28, 6)
(SEMICOLON, ";", 28, 9)
(KEYWORD_IF, "if", 31, 6)
(ID, "result", 31, 9)
(GT, ">", 31, 16)
(NUMBER, "100", 31, 18)
(KEYWORD_THEN, "then", 31, 22)
(ID, "result", 32, 10)
(ASSIGN, ":=", 32, 17)
(ID, "result", 32, 20)
(KEYWORD_DIV, "div", 32, 27)
(NUMBER, "2", 32, 31)
(KEYWORD_ELSE, "else", 33, 6)
(KEYWORD_BEGIN, "begin", 34, 6)
(KEYWORD_IF, "if", 35, 10)
(ID, "result", 35, 13)
(GT, ">", 35, 20)
(NUMBER, "50", 35, 22)
(KEYWORD_THEN, "then", 35, 25)
(ID, "result", 36, 14)
(ASSIGN, ":=", 36, 21)
(ID, "result", 36, 24)
(KEYWORD_MOD, "mod", 36, 31)
(NUMBER, "10", 36, 35)
(KEYWORD_ELSE, "else", 37, 10)
(ID, "result", 38, 14)
(ASSIGN, ":=", 38, 21)
(ID, "result", 38, 24)
(KEYWORD_AND, "and", 38, 31)
(NUMBER, "7", 38, 35)
(KEYWORD_END, "end", 39, 6)
(SEMICOLON, ";", 39, 9)
(KEYWORD_END, "end", 41, 2)
(DOT, ".", 41, 5)
(EOF, "EOF", 42, 1)
